DATE,ACMTP10
2005-04-29,0.6702126013
2005-05-31,0.4530079597
2005-06-30,0.2912056738
2005-07-29,0.368539314
2005-08-31,0.2027981047
2005-09-30,0.3759623961
2005-10-31,0.4606584995
2005-11-30,0.4265135562
2005-12-30,0.1663173726
2006-01-31,0.2119919474
2006-02-28,0.0826613334
2006-03-31,0.4129488774
2006-04-28,0.648915365
2006-05-31,0.610038991
2006-06-30,0.5193355936
2006-07-31,0.442670164
2006-08-31,0.2852176526
2006-09-29,0.2194903499
2006-10-31,0.1782209342
2006-11-30,0.0727490713
2006-12-29,0.2242893847
2007-01-31,0.2582187566
2007-02-28,0.1937504
2007-03-30,0.3554682542
2007-04-30,0.3095946263
2007-05-31,0.3846106469
2007-06-29,0.5688731687
2007-07-31,0.5407980763
2007-08-31,0.6914998902
2007-09-28,0.8944676844
2007-10-31,0.7915720216
2007-11-30,1.0169523868
2007-12-31,1.1405412946
2008-01-31,1.4674660104
2008-02-29,1.7102823304
2008-03-31,1.8426227146
2008-04-30,1.5132477108
2008-05-30,1.5306405595
2008-06-30,1.3909126616
2008-07-31,1.5248414921
2008-08-29,1.4854837066
2008-09-30,1.9563764734
2008-10-31,3.3303339282
2008-11-28,2.2816769671
2008-12-31,1.3880233429
2009-01-30,2.149069316
2009-02-27,2.1734089625
2009-03-31,1.6203933396
2009-04-30,2.0884514515
2009-05-29,2.5437626945
2009-06-30,2.3233939542
2009-07-31,2.2401614763
2009-08-31,2.2208842653
2009-09-30,2.061133023
2009-10-30,2.2031712407
2009-11-30,2.1666488656
2009-12-31,2.5102252007
2010-01-29,2.4766825068
2010-02-26,2.5134685727
2010-03-31,2.4910619109
2010-04-30,2.2783093578
2010-05-28,1.9898307677
2010-06-30,1.7157664014
2010-07-30,1.8265743435
2010-08-31,1.1825544146
2010-09-30,1.3737641321
2010-10-29,1.6851048837
2010-11-30,1.7396659121
2010-12-31,2.0710971163
2011-01-31,2.3427088676
2011-02-28,2.1002062609
2011-03-31,2.0825309817
2011-04-29,2.1666425257
2011-05-31,2.004406861
2011-06-30,2.2097424511
2011-07-29,1.8825675546
2011-08-31,1.1658117723
2011-09-30,0.5647249534
2011-10-31,0.9518829164
2011-11-30,0.8054301738
2011-12-30,0.509945647
2012-01-31,0.4949248644
2012-02-29,0.5913407706
2012-03-30,0.9240193139
2012-04-30,0.5908976401
2012-05-31,-0.0149632044
2012-06-29,0.0739963608
2012-07-31,-0.0320731333
2012-08-31,0.0618698277
2012-09-28,0.1586505682
2012-10-31,0.1845558613
2012-11-30,0.0919459025
2012-12-31,0.3064552737
2013-01-31,0.6452908542
2013-02-28,0.5273236178
2013-03-28,0.4689647904
2013-04-30,0.2446487324
2013-05-31,0.793449075
2013-06-28,1.0929667342
2013-07-31,1.3497686182
